date,year,month,day,adj_close
1/20/15,2015,1,20,106.321692
1/21/15,2015,1,21,107.133385
1/22/15,2015,1,22,109.920514
1/23/15,2015,1,23,110.487721
1/26/15,2015,1,26,110.605069
1/27/15,2015,1,27,106.732426
1/28/15,2015,1,28,112.766317
1/29/15,2015,1,29,116.277127
1/30/15,2015,1,30,114.575513
2/2/15,2015,2,2,116.013079
2/3/15,2015,2,3,116.032642
2/4/15,2015,2,4,116.922564
2/5/15,2015,2,5,117.757104
2/6/15,2015,2,6,116.765484
2/9/15,2015,2,9,117.541107
2/10/15,2015,2,10,119.799242
2/11/15,2015,2,11,122.607191
2/12/15,2015,2,12,124.158437
2/13/15,2015,2,13,124.767156
2/17/15,2015,2,17,125.503506
2/18/15,2015,2,18,126.377307
2/19/15,2015,2,19,126.112217
2/20/15,2015,2,20,127.14311
2/23/15,2015,2,23,130.579411
2/24/15,2015,2,24,129.764515
2/25/15,2015,2,25,126.446026
2/26/15,2015,2,26,128.046365
2/27/15,2015,2,27,126.122045
3/2/15,2015,3,2,126.740569
3/3/15,2015,3,3,127.005659
3/4/15,2015,3,4,126.200576
3/5/15,2015,3,5,124.109352
3/6/15,2015,3,6,124.295889
3/9/15,2015,3,9,124.826061
3/10/15,2015,3,10,122.24393
3/11/15,2015,3,11,120.01524
3/12/15,2015,3,12,122.185017
